2024-11-20 08:14:12,835 - INFO - Started Telegram Scraping Process.
2024-11-20 08:14:14,337 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2024-11-20 08:14:16,576 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2024-11-20 08:15:14,859 - INFO - Phone migrated to 4
2024-11-20 08:15:14,965 - INFO - Reconnecting to new data center 4
2024-11-20 08:15:15,737 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2024-11-20 08:15:15,738 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2024-11-20 08:15:15,739 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2024-11-20 08:15:18,301 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2024-11-20 08:15:33,622 - INFO - Successfully connected to Telegram.
2024-11-20 08:16:03,224 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:03,380 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:03,515 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:03,800 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:03,937 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:04,087 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:04,229 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:04,474 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:04,738 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:05,006 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:05,271 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:05,414 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:05,556 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:05,842 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:06,213 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:06,380 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:06,520 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:06,938 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
