2024-11-19 10:25:31,394 - INFO - Started Telegram Scraping Process.
2024-11-19 10:25:34,625 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2024-11-19 10:25:36,511 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2024-11-19 10:25:44,040 - ERROR - Failed to connect to Telegram: The phone number is invalid (caused by SendCodeRequest)
2024-11-19 10:25:50,809 - INFO - Started Telegram Scraping Process.
2024-11-19 10:25:50,810 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2024-11-19 10:25:50,908 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2024-11-19 10:25:57,966 - INFO - Phone migrated to 4
2024-11-19 10:25:58,109 - INFO - Reconnecting to new data center 4
2024-11-19 10:25:58,329 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2024-11-19 10:25:58,330 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2024-11-19 10:25:58,331 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2024-11-19 10:25:59,972 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2024-11-19 10:26:16,571 - INFO - Successfully connected to Telegram.
2024-11-19 10:26:47,375 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:47,767 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:48,092 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:48,249 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:48,391 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:48,601 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:48,895 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:49,038 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:49,207 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:49,366 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:49,680 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:49,990 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:50,267 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:50,621 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:50,790 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:50,947 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
